"Run 1: Time (s)","Run 1: Temperature (°C)"
0,87.5542286888
0.5,87.5261996969
1,87.3863913614
1.5,87.1546142676
2,86.8555844199
2.5,86.4910234282
3,86.1302196607
3.5,85.6622315173
4,84.8958501832
4.5,84.0188088467
5,82.9984291182
5.5,81.8273948903
6,80.6436348346
6.5,79.44194852
7,78.4196605142
7.5,77.4254130708
8,76.4096601933
8.5,75.2916842979
9,74.1614550166
9.5,73.1364238554
10,72.153866624
10.5,71.3421690915
11,70.4977102993
11.5,69.6799864087
12,68.8008271035
12.5,68.0834749084
13,67.4086291948
13.5,66.7716193785
14,65.9932807099
14.5,65.1939240786
15,64.5002362247
15.5,63.978880739
16,63.3784137103
16.5,62.8515622127
17,62.4553387665
17.5,62.0320219941
18,61.4374949546
18.5,61.0587813048
19,61.3349365857
19.5,62.0699006545
20,62.8081562031
20.5,63.1590983368
21,62.9264222988
21.5,62.4601192572
22,62.1505050935
22.5,61.8242897846
23,61.3512363209
23.5,60.7958757055
24,60.2884260444
24.5,59.7980341864
25,59.1665728758
25.5,58.4718877019
26,57.8953030083
26.5,57.2855126186
27,56.6228662064
27.5,56.0687722573
28,55.5169965557
28.5,55.0525319431
29,54.7292365114
29.5,54.4380913024
30,54.1188193459
30.5,53.7699848311
31,53.3882805142
31.5,53.0561621997
32,52.7068607331
32.5,52.3503228505
33,51.9371288383
33.5,51.5177256205
34,51.2105134081
34.5,50.9705030447
35,50.759507706
35.5,50.5363409848
36,50.3048461485
36.5,50.0964147003
37,49.9474924757
37.5,49.8191165914
38,49.7312587439
38.5,49.6143301721
39,49.453951759
39.5,49.2722577748
40,49.0766825882
40.5,48.8583623366
41,48.6821497004
41.5,48.5297479947
42,48.3723892643
42.5,48.2101126078
43,48.0731525894
43.5,47.9134730364
44,47.7400891985
44.5,47.6006880823
45,47.4580948947
45.5,47.345667858
46,47.2054282963
46.5,47.0707537425
47,46.9695070688
47.5,46.8597220118
48,46.7553472048
48.5,46.6563547624
49,46.5661839857
49.5,46.4709535075
50,46.3758685264
50.5,46.289553078
51,46.1930206902
51.5,46.1103964122
52,46.055373623
52.5,45.984945553
53,45.9060216811
53.5,45.8460364561
54,45.7672844372
54.5,45.6988831606
55,45.6425069828
55.5,45.5691212082
56,45.5196756153
56.5,45.4583474764
57,45.4089864617
57.5,45.3681643463
58,45.325668554
58.5,45.3018830225
59,45.2848986706
59.5,45.2458514329
60,45.2102199802
